543 11
_4_
нхеюмрябдкопйцсшлъвтиэаьгфчужщы	1	0	 [JAC]
нхюемряобкплдйсэцъжтвшуигфчьащы	2	0	 [DAT]
нехюмрябпкйдлосшаъцтиэгьжфвуыщч	3	0	 [MAP]
нехюмрябдкопйлсшаъцтиэгьжфчывщу	4	2	+[JAC]
нхюемрябпкдйлоъшгсцтиэувьфыажщч	5	2	+[MAP]
неюхмрябпкйдлосшгъцтиэувьфчжыща	6	1	+[MAP]
нхюемряобкплдйсэцъжтвшуигфчьащы	7	1	+[DAT]
нхюемряобкплдйсэцъжтвшуигфчьащы	8	3	+[DAT]
нехюмрябпкйдлосшаъцтиэгьжфчвыщу	9	3	+[JAC]
нехюмрябпкйдлосшаъцтиэгьжфвуыщч	10	4	+[MAP]
неюхмрябпкйдлосшаъцтиэуьжфчывщг	11	0	 [FR1]
_5_
неюхмрябпкйдлосшгъфциэавьжчтыщу	1	0	 [JAC]
нюехмрябпковдйсшцътулэагьжиыщчф	2	0	 [DAT]
енюхмябрпкйдлосшгэвциъуафьчтжщы	3	0	 [MAP]
неюхмрябпкйдлосшгъфциэавьжчтыщу	4	2	+[JAC]
нюехмрябпкодлйсшфъцаиэувьгчжтщы	5	2	+[MAP]
неюхмрябпкйдлосшаъфциэувжгчтыщь	6	1	+[MAP]
нюехмрябпковдйсшцътулэагьжиыщчф	7	1	+[DAT]
нюехмрябпковдйсшцътулэигьжчаыщф	8	3	+[DAT]
неюхмрябпкйдлосшгъуциэавьфчтжщы	9	3	+[JAC]
неюхмрябпкйдлосшаъфциэувжгчтыщь	10	4	+[MAP]
неюхмрябпкйдлосшгъфциэавьжчтыщу	11	0	 [FR1]
_7_
неюхмрябпкйдаосшлъцьиэгвфтчжыщу	1	0	 [JAC]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	2	0	 [DAT]
неюхмрябпкйдлосшгъцаиэувьфчжтщы	3	0	 [MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	4	2	+[JAC]
неюхмрябпкйдлосшгъцаиэувьфчжтщы	5	2	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчжтщы	6	1	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	7	1	+[DAT]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	8	3	+[DAT]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	9	3	+[JAC]
неюхмрябпкйдлосшгъцаиэувьфчжтщы	10	4	+[MAP]
неюхмрябпкйдлосшгъцаиэувьфчжыщт	11	0	 [FR1]
_8_
неюхмрябпкйдлосшгъцаиэувьфчыжщт	1	0	 [JAC]
